scope,candidate,baseline,metric,difference,ci_lower,ci_upper,replicates
fold_5,A4,B2,WIS,1.8187640843681283,0.827781877981666,2.999507829902113,2000
fold_5,A4,B3,MAE,-2.7969674509217946,-5.230419913343616,0.026916660409309043,2000
fold_5,A4,B3,WIS,-1.2520785380538992,-2.8699630753084815,0.39526699380690616,2000
fold_5,A5,B0,MAE,-9.959217571972587,-13.244640618764823,-5.376930242280235,2000
fold_5,A5,B0,WIS,-5.8931521418064605,-7.678099392991786,-3.24526656551052,2000
fold_5,A5,B1,MAE,-2.5933780240604953,-4.956277747702738,-0.37366973928238334,2000
fold_5,A5,B1,WIS,-1.4368466552767156,-2.9482061201151004,0.022901259727846783,2000
fold_5,A5,B2,MAE,1.3948163797945128,-0.3630314158824158,2.9222681745057653,2000
fold_5,A5,B2,WIS,0.5231106261549137,-0.07441054651618995,1.1082849235368084,2000
fold_5,A5,B3,MAE,-4.8395124125250675,-7.20988933733057,-2.544224836400074,2000
fold_5,A5,B3,WIS,-2.547731996267114,-4.1027128708179115,-1.2284810778663897,2000
equal_fold,A1,B0,MAE,-12.216037960199614,-16.05851540621143,-8.63050179931825,2000
equal_fold,A1,B0,WIS,-7.635920281169017,-10.21935897772899,-5.2348062205774735,2000
equal_fold,A1,B1,MAE,-21.336856018397846,-31.029987170077806,-14.32263270374083,2000
equal_fold,A1,B1,WIS,-12.994240564291928,-20.389041166081263,-7.830729381802976,2000
equal_fold,A1,B2,MAE,-0.28661108696516635,-0.946318800705345,0.38873824520889544,2000
equal_fold,A1,B2,WIS,-0.21925972945636651,-0.6317070112044879,0.17813730636257172,2000
equal_fold,A1,B3,MAE,-5.681763216763407,-7.225310559713801,-4.469172004627058,2000
equal_fold,A1,B3,WIS,-2.7473941140630256,-3.6139300578651445,-2.142425971166594,2000
equal_fold,A2,B0,MAE,-7.477313799611483,-10.095941196712507,-4.864984929136514,2000
equal_fold,A2,B0,WIS,-5.290933329679245,-7.05797363689891,-3.479075278601214,2000
equal_fold,A2,B1,MAE,-16.598131857809715,-26.142506796303714,-9.890500506443958,2000
equal_fold,A2,B1,WIS,-10.649253612802156,-18.06311146207284,-5.500487055967574,2000
equal_fold,A2,B2,MAE,4.452113073622964,2.527378764309908,6.892552879693487,2000
equal_fold,A2,B2,WIS,2.1257272220334062,0.9735656040349911,3.4653385362462004,2000
equal_fold,A2,B3,MAE,-0.9430390561752766,-2.7201774113524193,0.9802678340844286,2000
equal_fold,A2,B3,WIS,-0.4024071625732528,-1.4440878928011314,0.5732717337600491,2000
equal_fold,A3,B0,MAE,-11.47231832193831,-14.896647918395846,-8.205188957328135,2000
equal_fold,A3,B0,WIS,-7.320389989667593,-9.560229576710734,-5.151262207203121,2000
equal_fold,A3,B1,MAE,-20.593136380136542,-30.14638760271844,-13.691930909100405,2000
equal_fold,A3,B1,WIS,-12.678710272790504,-20.043057805822304,-7.6318140980693085,2000
equal_fold,A3,B2,MAE,0.4571085512961375,-0.6641594783343481,1.7283962998867062,2000
equal_fold,A3,B2,WIS,0.09627056204505813,-0.5832426753260389,0.7962540247783768,2000
equal_fold,A3,B3,MAE,-4.9380435785021035,-6.362887755068248,-3.7709039137289944,2000
equal_fold,A3,B3,WIS,-2.431863822561601,-3.238798705026007,-1.8271198185988522,2000
equal_fold,A4,B0,MAE,-8.673673072589885,-11.60820544836051,-5.7325382187024925,2000
equal_fold,A4,B0,WIS,-5.661058649660113,-7.783763583556298,-3.5455845078963284,2000
equal_fold,A4,B1,MAE,-17.794491130788117,-27.563334757866674,-10.425438914697288,2000
equal_fold,A4,B1,WIS,-11.019378932783024,-18.573362987106275,-5.622721834510852,2000
equal_fold,A4,B2,MAE,3.2557538006445625,1.8609438055014538,4.833750830051422,2000
equal_fold,A4,B2,WIS,1.755601902052538,0.9998838412748114,2.688500116506727,2000
equal_fold,A4,B3,MAE,-2.1393983291536784,-3.835017056730889,-0.6467772888475847,2000
equal_fold,A4,B3,WIS,-0.7725324825541211,-1.6382267488690436,0.0068544967856829266,2000
equal_fold,A5,B0,MAE,-11.408338558022493,-14.838182444565643,-8.160291543364517,2000
equal_fold,A5,B0,WIS,-7.269786601499963,-9.528256760927718,-5.122443609432081,2000
equal_fold,A5,B1,MAE,-20.529156616220725,-30.24197134384876,-13.537716601233186,2000
equal_fold,A5,B1,WIS,-12.628106884622873,-20.020041620177363,-7.448789703932928,2000
equal_fold,A5,B2,MAE,0.521088315211955,-0.5120196563276675,1.6844324281899483,2000
equal_fold,A5,B2,WIS,0.14687395021268834,-0.456179561440298,0.8262350821722536,2000
equal_fold,A5,B3,MAE,-4.874063814586286,-6.249130385410695,-3.761225404421553,2000
equal_fold,A5,B3,WIS,-2.3812604343939707,-3.152619516730606,-1.7955904727860859,2000
