run_00z,delivery_day,archive_span,file_present,file_bytes,path,field_inventory,n_step,missing_chunks,inventory_error,folds
2021-02-12,2021-02-13,inside,True,3295725632,data/2021/2/12/20210212_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-02-13,2021-02-14,inside,True,3292248505,data/2021/2/13/20210213_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-02-14,2021-02-15,inside,True,3287569186,data/2021/2/14/20210214_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-02-15,2021-02-16,inside,True,3298351385,data/2021/2/15/20210215_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-02-16,2021-02-17,inside,True,3298567254,data/2021/2/16/20210216_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-02-17,2021-02-18,inside,True,3297166050,data/2021/2/17/20210217_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-02-18,2021-02-19,inside,True,3292059021,data/2021/2/18/20210218_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-02-19,2021-02-20,inside,True,3283330880,data/2021/2/19/20210219_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-02-20,2021-02-21,inside,True,3284269273,data/2021/2/20/20210220_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-02-21,2021-02-22,inside,True,3286170862,data/2021/2/21/20210221_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-02-22,2021-02-23,inside,True,3294184120,data/2021/2/22/20210222_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-02-23,2021-02-24,inside,True,3296705963,data/2021/2/23/20210223_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-02-24,2021-02-25,inside,True,3312240943,data/2021/2/24/20210224_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-02-25,2021-02-26,inside,True,3291340586,data/2021/2/25/20210225_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-02-26,2021-02-27,inside,True,3276983657,data/2021/2/26/20210226_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-02-27,2021-02-28,inside,True,3291141276,data/2021/2/27/20210227_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-02-28,2021-03-01,inside,True,3312870522,data/2021/2/28/20210228_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-03-01,2021-03-02,inside,True,3321869111,data/2021/3/1/20210301_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-03-02,2021-03-03,inside,True,3321810350,data/2021/3/2/20210302_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-03-03,2021-03-04,inside,True,3320479276,data/2021/3/3/20210303_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-03-04,2021-03-05,inside,True,3329695158,data/2021/3/4/20210304_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-03-05,2021-03-06,inside,True,3326781783,data/2021/3/5/20210305_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-03-06,2021-03-07,inside,True,3333129763,data/2021/3/6/20210306_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-03-07,2021-03-08,inside,True,3326502916,data/2021/3/7/20210307_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-03-08,2021-03-09,inside,True,3302174472,data/2021/3/8/20210308_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-03-09,2021-03-10,inside,True,3273540245,data/2021/3/9/20210309_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-03-10,2021-03-11,inside,True,3254118677,data/2021/3/10/20210310_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-03-11,2021-03-12,inside,True,3295953509,data/2021/3/11/20210311_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-03-12,2021-03-13,inside,True,3334863875,data/2021/3/12/20210312_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-03-13,2021-03-14,inside,False,,,,,,,fold_2;fold_3
2021-03-14,2021-03-15,inside,True,3372997256,data/2021/3/14/20210314_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-03-15,2021-03-16,inside,True,3370396537,data/2021/3/15/20210315_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-03-16,2021-03-17,inside,True,3346580236,data/2021/3/16/20210316_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-03-17,2021-03-18,inside,True,3324909028,data/2021/3/17/20210317_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-03-18,2021-03-19,inside,True,3326578379,data/2021/3/18/20210318_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-03-19,2021-03-20,inside,True,3337099247,data/2021/3/19/20210319_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-03-20,2021-03-21,inside,True,3351284845,data/2021/3/20/20210320_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-03-21,2021-03-22,inside,True,3348843181,data/2021/3/21/20210321_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-03-22,2021-03-23,inside,True,3333379885,data/2021/3/22/20210322_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-03-23,2021-03-24,inside,True,3310692806,data/2021/3/23/20210323_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-03-24,2021-03-25,inside,True,3302410973,data/2021/3/24/20210324_00.zarr.zip,pass,93,,,fold_2;fold_3
2021-03-25,2021-03-26,inside,True,3317814346,data/2021/3/25/20210325_00.zarr.zip,pass,93,,,fold_2;fold_3
